,InvoiceDate,Sales
0,2010-12-01,23.880787847579814
1,2010-12-02,23.658265
2,2010-12-03,21.68786038077969
3,2010-12-04,16.710178344008753
4,2010-12-05,11.732496307237813
5,2010-12-06,16.049172236503857
6,2010-12-07,48.46424324324324
7,2010-12-08,20.148264887063654
8,2010-12-09,21.85929102344197
9,2010-12-10,24.384260869565217
10,2010-12-11,18.21781636793024
11,2010-12-12,12.051371866295264
12,2010-12-13,21.817426992896607
13,2010-12-14,18.08901912399753
14,2010-12-15,23.515686578743214
15,2010-12-16,29.412165566886625
16,2010-12-17,27.76531855955679
17,2010-12-18,21.390139036863417
18,2010-12-19,15.014959514170041
19,2010-12-20,23.66943305186972
20,2010-12-21,40.07954773869346
21,2010-12-22,22.62277777777778
22,2010-12-23,16.812410714285715
23,2010-12-24,16.76587380713009
24,2010-12-25,16.71933689997447
25,2010-12-26,16.672799992818845
26,2010-12-27,16.626263085663222
27,2010-12-28,16.5797261785076
28,2010-12-29,16.533189271351972
29,2010-12-30,16.48665236419635
30,2010-12-31,16.440115457040726
31,2011-01-01,16.393578549885103
32,2011-01-02,16.34704164272948
33,2011-01-03,16.300504735573856
34,2011-01-04,16.253967828418233
35,2011-01-05,27.510630372492837
36,2011-01-06,27.14075039494471
37,2011-01-07,22.17874184529357
38,2011-01-08,18.274343600242414
39,2011-01-09,14.369945355191257
40,2011-01-10,19.377310606060608
41,2011-01-11,71.6632342449465
42,2011-01-12,18.996611295681063
43,2011-01-13,20.86837689133425
44,2011-01-14,49.41502499999999
45,2011-01-15,30.347746144859812
46,2011-01-16,11.280467289719628
47,2011-01-17,17.28890625
48,2011-01-18,165.8884659090909
49,2011-01-19,22.738214285714285
50,2011-01-20,22.061837916063674
51,2011-01-21,35.2903488372093
52,2011-01-22,23.691831395348835
53,2011-01-23,12.093313953488373
54,2011-01-24,23.139593175853015
55,2011-01-25,20.149791144527985
56,2011-01-26,17.614118831822758
57,2011-01-27,16.939625382262996
58,2011-01-28,26.8222049689441
59,2011-01-29,18.043980635732552
60,2011-01-30,9.265756302521009
61,2011-01-31,18.818080000000002
62,2011-02-01,21.53183673469388
63,2011-02-02,17.214086345381524
64,2011-02-03,26.129564193168434
65,2011-02-04,24.780177838577295
66,2011-02-05,18.58562655369725
67,2011-02-06,12.391075268817204
68,2011-02-07,24.544035639412996
69,2011-02-08,22.962771474878444
70,2011-02-09,27.154396355353075
71,2011-02-10,21.447900302114803
72,2011-02-11,35.09332075471698
73,2011-02-12,22.237653809213988
